valor_curso;valor_area_materia;valor_criterio_evaluacion
3º ESO;Ámbito científico- experimental;Describir e interpretar algunos fenómenos naturales mediante observaciones y procedimientos científicos como la elaboración de modelos sencillos y representaciones a escala del Sistema Solar y de los movimientos relativos entre la Luna, la Tierra y el Sol.
3º ESO;Ámbito científico- experimental;Hacer predicciones a partir del análisis de las relaciones que se establecen entre el comportamiento humano y fenómenos de la naturaleza para conocer la posibilidad de que un suceso ocurra a partir de información previamente obtenida de forma empírica.
3º ESO;Ámbito científico- experimental;Utilizar números enteros, fracciones, decimales y porcentajes sencillos, sus operaciones y propiedades, para recoger, transformar e intercambiar información y resolver problemas relacionados con la vida diaria.
3º ESO;Ámbito científico- experimental;Identificar los comportamientos favorables y desfavorables para la salud y el medio ambiente
3º ESO;Ámbito científico- experimental;Interpretar los aspectos relacionados con las funciones vitales de los seres vivos a partir de distintas observaciones y experiencias realizadas con organismos sencillos, comprobando el efecto que tienen determinadas variables en los procesos de nutrición, relación y reproducción.
3º ESO;Ámbito científico- experimental;Identificar las acciones de los agentes geológicos internos en el origen del relieve terrestre, así como en el proceso de formación de las rocas magmáticas y metamórficas y valorar los riesgos asociados a los procesos geológicos internos y en su prevención y predicción.
3º ESO;Ámbito científico- experimental;Resolver problemas aplicando los conocimientos sobre el concepto de temperatura y su medida, el equilibrio y desequilibrio térmico, los efectos del calor sobre los cuerpos y su forma de propagación.
3º ESO;Ámbito científico- experimental;Demostrar actitudes propias de la actividad matemática y valorar la contribución de esta materia en el desarrollo científico y cultural de la sociedad.
3º ESO;Ámbito científico- experimental;Relacionar propiedades de los materiales con el uso que se hace de ellos y diferenciar entre mezclas y sustancias, gracias a las propiedades características de estas últimas, así como aplicar algunas técnicas de separación.
3º ESO;Ámbito científico- experimental;Utilizar los procedimientos de las ciencias para estudiar y buscar alternativas a cuestiones científicas y tecnológicas y a la resolución de problemas locales y globales.
3º ESO;Ámbito científico- experimental;Explicar, a partir del conocimiento de las propiedades del agua, el ciclo del agua en la naturaleza y su importancia para los seres vivos, considerando las repercusiones de las actividades humanas en relación con su utilización.
3º ESO;Ámbito científico- experimental;Identificar elementos matemáticos presentes en la realidad, y aplicar los conocimientos científicos adquiridos en situaciones cotidianas.
3º ESO;Ámbito científico- experimental;Identificar relaciones de proporcionalidad numérica y geométrica y utilizarlas para resolver problemas en situaciones de la vida cotidiana.
3º ESO;Ámbito científico- experimental;Reconocer que los seres vivos están constituidos por células y que llevan a cabo funciones vitales que les diferencian de la materia inerte. Identificar y reconocer las peculiaridades de los grupos más importantes, utilizando claves dicotómicas para su identificación.
3º ESO;Ámbito científico- experimental;Conocer la existencia de la atmósfera y las propiedades del aire, llegar a interpretar cualitativamente fenómenos atmosféricos y valorar la importancia del papel protector de la atmósfera para los seres vivos, considerando las repercusiones de la actividad humana en la misma.
3º ESO;Ámbito científico- experimental;Utilizar las destrezas orales y escritas como herramientas al servicio del aprendizaje.
3º ESO;Ámbito científico- experimental;Conocer las rocas y los minerales más frecuentes, en especial los que se encuentran en el entorno próximo, utilizando claves sencillas, reconocer sus aplicaciones más frecuentes y describir las propiedades de materiales que nos rodean, tales como la masa, el volumen, los estados en los que se presentan y sus cambios.
3º ESO;Ámbito científico- experimental;Emplear de manera autónoma y con sentido crítico los recursos tecnológicos en el trabajo habitual para realizar investigaciones y resolver problemas.
3º ESO;Ámbito científico- experimental;Identificar y describir regularidades, pautas y relaciones en conjuntos de números, utilizar letras para simbolizar distintas cantidades y obtener expresiones algebraicas como síntesis en secuencias numéricas, así como el valor numérico de fórmulas sencillas.
3º ESO;Ámbito científico- experimental;Utilizar el concepto cualitativo de energía para explicar su papel en las transformaciones que tienen lugar en nuestro entorno y reconocer la importancia y repercusiones para la sociedad y el medio ambiente de las diferentes fuentes de energía renovables y no renovables.
3º ESO;Ámbito científico- experimental;Organizar e interpretar informaciones diversas mediante tablas y gráficas, e identificar relaciones de dependencia en situaciones cotidianas.
3º ESO;Ámbito científico- experimental;Identificar los componentes bióticos y abióticos de un ecosistema cercano, valorar su diversidad y representar gráficamente las relaciones tróficas establecidas entre los seres vivos del mismo, así como conocer las principales características de los grandes biomas de la Tierra.
3º ESO;Ámbito científico- experimental;Explicar fenómenos naturales referidos a la transmisión de la luz y del sonido y reproducir algunos de ellos teniendo en cuenta sus propiedades.
3º ESO;Ámbito científico- experimental;Participar de forma activa en proyectos y manifestar actitudes de cooperación, tolerancia y respeto a las opiniones y al trabajo del resto de los componentes.
3º ESO;Ámbito científico-social;Utilizar las destrezas orales y escritas como herramientas al servicio del aprendizaje.
3º ESO;Ámbito científico-social;Identificar algunos de los rasgos de las sociedades actuales (desigualdad, pluralidad cultural, compleja convivencia urbana, etc.) y desarrollar actitudes responsables que contribuyan a su mejora.
3º ESO;Ámbito científico-social;Identificar los principios básicos de las Declaración Universal de los Derechos Humanos y su evolución, distinguir situaciones de violación de los mismos y reconocer y rechazar las desigualdades de hecho y de derecho, en particular las que afectan a las mujeres.
3º ESO;Ámbito científico-social;Identificar los rasgos característicos de la sociedad española actual distinguiendo la diversidad de grupos sociales que la configuran, reconociendo su pertenencia al mundo occidental y exponiendo alguna situación que refleje desigualdad social.
3º ESO;Ámbito científico-social;Distinguir los principales momentos en la formación del Estado moderno destacando las características más relevantes de la monarquía hispánica y del imperio colonial español.
3º ESO;Ámbito científico-social;Identificar y exponer los cambios que supuso la revolución neolítica y las primeras civilizaciones urbanas en la evolución de la humanidad y valorar su importancia y sus consecuencias al compararlos con los elementos que conformaron las sociedades depredadoras.
3º ESO;Ámbito científico-social;Describir los factores que condicionan los comportamientos demográficos conociendo y utilizando los conceptos básicos de la demografía para su análisis, caracterizando las tendencias predominantes y aplicando este conocimiento al análisis del actual régimen demográfico español y sus consecuencias.
3º ESO;Ámbito científico-social;Describir y comparar los rasgos físicos más destacados de los grandes medios naturales del planeta, localizándolos en el espacio representado y relacionándolos con las posibilidades que ofrecen a los grupos humanos
3º ESO;Ámbito científico-social;Identificar elementos matemáticos presentes en la realidad, y aplicar los conocimientos matemáticos adquiridos en situaciones cotidianas.
3º ESO;Ámbito científico-social;Realizar proyectos de investigación guiada utilizando una lectura comprensiva de fuentes de información escrita de contenido geográfico o histórico y comunicar la información obtenida de forma correcta por escrito.
3º ESO;Ámbito científico-social;Identificar y rechazar, a partir del análisis de hechos reales o figurados, las situaciones de discriminación hacia personas de diferente origen, género, ideología, religión, orientación afectivo-sexual y otras, respetando las diferencias personales y mostrando autonomía de criterio.
3º ESO;Ámbito científico-social;Conocer y contrastar la situación de los derechos y libertades humanas en las épocas estudiadas y en el momento actual.
3º ESO;Ámbito científico-social;Formular las preguntas adecuadas para conocer las características de una población y recoger, organizar y presentar datos relevantes para responderlas, utilizando los métodos estadísticos apropiados y las herramientas informáticas adecuadas.
3º ESO;Ámbito científico-social;Describir los rasgos sociales, económicos, políticos, religiosos, culturales y artísticos que caracterizan la Europa feudal a partir de las funciones desempeñadas por los diferentes estamentos sociales y reconocer su evolución hasta la aparición del Estado moderno.
3º ESO;Ámbito científico-social;Utilizar las convenciones y unidades cronológicas y las nociones de evolución y cambio aplicándolas a hechos y procesos referidos al periodo de estudio.
3º ESO;Ámbito científico-social;Identificar relaciones de proporcionalidad numérica y geométrica y utilizarlas para resolver problemas en situaciones de la vida cotidiana.
3º ESO;Ámbito científico-social;Localizar, obtener y describir la información de lugares y espacios que configuran el medio físico mundial, de Europa, España y Castilla-La Mancha, en un mapa utilizando las coordenadas geográficas, la leyenda y la simbología.
